quote,poet name,poem title,published in
"Newel of a stair,
Your emptiness is central
And extends.",Angeline Yap,Haiku (1986),Unfree Verse
"How does a concrete building break?
Did the shagged dragon shake
its multipurpose scaly tail?
Did the Taoists’ chanting fail,
and did the gamblers lose their stake?",Shirley Geok-lin Lim,How Does A Building Collapse? (1989),Unfree Verse
"Did the girders sag in air
for a silent moment when
the tired workers blinked, and then
did the calm hot morning sun
welcome the dead ones as its own?",Shirley Geok-lin Lim,How Does A Building Collapse? (1989),Unfree Verse
"Jungle, river, valley and hill.
The elemental lash of rain and sun.
Despite blister, cramp, fainting even,
The mud on your face is soil, your soil.",Robert Yeo,Boys in Jungle Green (1989),Unfree Verse
"Guilin is superlatives
Meandering into superlatives until
Our sureness slips and,
The undistracted eye,
Now that the tongue is silenced,
Regains its primacy.",Robert Yeo,Guilin: Sailing Down The Li River (1989),Unfree Verse
"headstern
heartstrong
fi ne-eyed
footlong",Lee Tzu Pheng,Inventory (1991),Unfree Verse
"At Wesak in white,
I kneel before the altar
To know my own light",Leong Liew Geok,Buddhist Haiku (1991),Unfree Verse
"In days of yore Grandpa laid down the law,
Speak mother tongue he used to say:
“Hokkien lang kong Hokkien way.”",Goh Sin Tub,Speaking in Tongues - Singapore Style (1993),Unfree Verse
"And now (kao peh!) Speak Mandarin campaign!
Must jiang hua yu, Hokkien way no can do.
Kena again: t’ak ch’e, belajar, benkyo, study, du shu.",Goh Sin Tub,Speaking in Tongues - Singapore Style (1993),Unfree Verse
"I don’t hope in that direction, anyway; I’m happy
where I am, enough if somewhere people read me.
Unfortunately, they mightn’t, unless as you say,
England approves, or America says okay.",Ee Tiang Hong,Comment (1994),Unfree Verse
"What are we who inherit him to say?
I should have known him when his love was vastness?
I only know that among the friends he claimed
he lived the longest but he died the fastest.",Toh Hsien Min,Grandfather Thng (1994),Unfree Verse
"She proceeds to the kitchen for breakfast.
Shells crack on rim. She knows he likes them raw.
Yellow blends meekly when beaten. The past
was never like that. But marriage is law.",Eddie Tay,Beginning His Day (2005),Unfree Verse
"...and when it craps down tonnes
we say lot shit for “snowing”. So you’ll know
why Singapore has just begun to freeze.
You left me, so it’s snowing. Snow. Snow. Snow.",Toh Hsien Min,Swear Words (2004),Unfree Verse
"
The orchids in my garden have no scent.
The evening crickets do not bow their strings.
The sea has lost its coat of deep marine.
I do not know what these things represent.",Toh Hsien Min,Since You Told Me (2004),Unfree Verse
"Twice more that year in galleries, we bumped
into each other and we spoke of art.",Toh Hsien Min,Coast (2011),Unfree Verse
"“She sells seashells on the seashore” is her
English lesson tongue-twister, being Asian.
“She sells fishes in the wet market” is her
mother’s fate twisting to meet life’s ration.",Heng Siok Tian,A Seashell Sonnet (2011),Unfree Verse
"I am a collector of sins par excellence.
I am an apostle of lax
living. While wisemen and salarymen
paint over the cracks of dead monuments
I made ronin of your serotonin, your
oxytocin.",David Wong,The Inquisitor's Lover (2015),Unfree Verse
"Could
you have heard me amidst the whole freak host?
Forgive me; each night, I undress your ghost.",David Wong,The Inquisitor's Lover (2015),Unfree Verse
The centre is never where you think it is.,Nicholas Liu,Sonnet (2011),Unfree Verse
"Our error
is confounding loss. As if the language of defeat
were an alien tongue. Or needs translation.",Alvin Pang,No Sign Before (2003),Unfree Verse
"She turns back to his picture
while we orbit lightly around her, an immovable
centre of grief. Outside, the hush of water gathering
in its pool, and the sound of a dove in the morning.",Aaron Lee,Sonnet (2007),Unfree Verse
"It’s not the loss that horrifies;
it’s the body’s making peace

with loss, like limbless tree-trunks
refusing to rot, alive.",Zhang Ruihe,Two Sonnets (2015),Unfree Verse
"we look ridiculous
crying like babies who lost our mothers
when nothing is wrong; we cry because salt is delicious.",Christine Chia,The Fat of the Soul (2015),Unfree Verse
"I realise I don’t have the recipe, so I make it up as I go.
I write words on this page, and throw out the withered orchids.",Eileen Chong,Cleansing Ritual (2014),Unfree Verse
"red and yellow black and white, i sing
that one. now when i bow down to prayers
i touch my fingers together, a little curled.
your ah kong say zhe yang dao gao hen ling.",Joshua Ip,grandmother prays (2015),Unfree Verse
"this poem is tucked-in, clean-shaved, and iron-creased, each last
cock-hair shaved off and burnt and tweezed with a mother’s pride,
screaming “inspect me” from each seam, no dirt, no dust—
this poem is so shiny you can see your face inside.",Joshua Ip,entry (2012),Unfree Verse
"
we’ll watch a lonely clown float his balloons
and eat low-hanging fruit out of the box.",Joshua Ip,the civil servants' picnic (2012),Unfree Verse
"felt, not seen. that which sets one gently down,
sometimes called gravity. more often: ground.",Theophilus Kwek,from Weight (2015),Unfree Verse
"the build of desire, the story
of longing we read over and over, almost like belief.",Boey Kim Cheng,Istanbul (2012),Unfree Verse
"Above the lalang buildings do not cease
To also grow. All these we could embrace
If only we were certain of the ways.",Tham Zhen Teng,Jubilee Year (2015),Unfree Verse
"I’ll tell you what the situation is.
The situation is your question is important.
Your question points to what our nation is.
The answer to your point cannot be shortened.",Toh Hsien Min,Train of Thought (2015),Unfree Verse
"thrilling, the first always—
but it was not sex, it was
a poem,",Shirley Geok-lin Lim,Public Reading (2015),Unfree Verse
"Pale gleaming discus, small and high
in the Singapore seven a.m.: I
cut and paste you in this poem.",Shirley Geok-lin Lim,Tuesday Morning Moon (2015),Unfree Verse
"You died when I was six. My peashoot mind
broke into an empty flat.",Toh Hsien Min,Grandmother Thng (2001),Unfree Verse
"And after all these greening years I fi nd
that I am no less salted by my grief,
incapable of love still, heartworn, dead.",Toh Hsien Min,Grandmother Thng (2001),Unfree Verse
"The possibility of intelligence
is much more dangerous than intelligence.",Toh Hsien Min,Central Business District (2001),Unfree Verse
"My saliva wells up and it
can fi nd no avenue—
but I must never spit!
The Merlion cried, My son,
my son, I spit for you!",Gwee Li Sui,Propitiations (1998),Unfree Verse
"Some like yong tao foo with noodles,
Some like it with rice.",Gwee Li Sui,Noodles and Rice (2015),Unfree Verse
"Thank the brass it was level ground still,
we muttered, listing in the dark’s embrace.
And then we saw the hill.",Night Manoeuvres,Alvin Pang (2002),Unfree Verse
"I am broken by the rain,
leaves telling on the fall,
poems I have missed
when I refused to rise up
to the dreaming in their call.",Felix Cheong,Broken by the Rain (2003),Unfree Verse
A bridge of birds is enough if nobody lies.,Teng Qian Xi,A Bridge of Birds (2010),Unfree Verse
"as women have assessed,
some things work better dressed.",Joshua Ip,First Date at Jumbo Seafood (2013),Unfree Verse
"for after all i understand denial
is still the longest river in the world—",Joshua Ip,The Singaporean Talks to the African About Rivers (2013),Unfree Verse
"Here He is, still. God of the distance
and river’s overfl ow, stars’ luminescence.
Harvest’s full, fell hour. First snow.",Theophilus Kwek,Psalm 19 (2015),Unfree Verse
"Two roads diverged in a yellow wood,
and of course you could travel both!
",Rohan Naidu,The Physicist Critiques Robert Frost (2015),Unfree Verse
"I will arise and go now, and eat my bak chor mee,
And a big chili crab meal, all served with extra buns:",Tse Hao Guang,A Big Pile of Bak Chor Mee (2014),Unfree Verse
"I tap on doors, surprised, and ask if I am there.
Somewhere far away a nervous telephone restarts.",Tse Hao Guang,Stance and Distance (2015),Unfree Verse
"When too-early morning sun drags
me out of bed, the koel calls; I wonder
what new crime it’s telling me to commit.",Tse Hao Guang,All the Sounds of Mynahs (2015),Unfree Verse
"For each unconfessed sin.
For foreign coins oxidising in their jars.
For more leaving after this leaving.",Tse Hao Guang,Prayer to Saint Philomena (2015),Unfree Verse
You voted for it last time round: you’ll vote for it again.,George Szirtes,Slogan (2015),Unfree Verse
"Intelligence here is anxiety. Where is it not?
We dare not break hearts for fear of making noise.",George Szirtes,An Open Book (2015),Unfree Verse
"But late at night
energies took their fill. Each hand
wielded an imagined axe. The sea was high
in the bay. The malls were running dry.",George Szirtes,Blessed Idle (2015),Unfree Verse
"We’ll ghost into a life like minor chords,
make rearview eyes at what could have fl own—",Lo Kwa Mei-En,"Taxi, Singapore, Ohio (2015)",Unfree Verse
"When the blind are lonely do we lend them our mirrors?
If only we would vanish when the lamps are turned on.",Alfian Sa'at,Ghazal of Oblivion (2001),Unfree Verse
"Alfian, how wantonly you break the rules of the ghazal.
But if it makes you happy to call this one, then be happy.",Alfian Sa'at,Ghazal of Happiness (2001),Unfree Verse
"To give is selfless, meaning: having no self.
The flower with no petals is always in bloom.",Alfian Sa'at,Ghazal of Compassion (2001),Unfree Verse
"Through your own bars, poet, see this bird: though its cage
hangs open, never again will it take to the air.",G Toh,Between Breaths (2003),Unfree Verse
"Every other space I learn to halve with you
As days slide away like streetcars
Along steel networks planned by neither of us.",Teng Qian Xi,Ghazal of Winter (2010),Unfree Verse
"Camille Paglia the rest of this poem will be in the third person present.
I hope this is okay with you. If it is not, I am sorry, but that won’t get
in the way
of my sense of high seriousness.",Nicholas Liu,Ghazal of High Seriousness (2010),Unfree Verse
"Tough lah this line, life of always blow job,
When person come in with broom hair, but ask for goddamn ’fro job.",Nabilah Said,Hair Apparent (2015),Unfree Verse
"My dearest brother, try to understand.
Send money, so our mother will not gnash;
the season harvest did not grow as planned.
Send money, or hunger will eat our flesh.",Eddie Tay,Letters from China (2000),Unfree Verse
"I will not want a civilised tic, to luck into consent, will not
fuck structure and narrative in a moral pleather meadow",Lo Kwa Mei-En,"The Crane's Wife is Pure, The Crane's Wife Product is Pure Pantoum (2015)",Unfree Verse
"a song (of what is of no significance to)
and now my o my is the an of",Yeow Kai Chai,Proem (2015),Unfree Verse
"one more ostinato today to say
read me to sleep, beyond this city’s noise and history, and meandering verse.",Desmond Kon,The Object of White Noise (2014),Unfree Verse
"Love, since you want to live alone,
our marriage is all in vain,
but let me buy you an HDB flat.",Ann Ang,Let me buy you an HDB flat (2014),Unfree Verse
"Soon, sunlight enters
the room like a lover and
everything is touched.",Cyril Wong,Aubade (2004),Unfree Verse
"by God, any bog
could drink milk in rhythm to
awaken my head.",Samuel Lee,Haiku from the Heaney (2014),Unfree Verse
"thousand-layered box—
one mooncake, flown all this way
your thumbprint on it",Lee Jing-Jing,Last Fall (2014),Unfree Verse
"eighteen impulse bralet skirt
exams finish furious flirt
buzzcut bookout morning MC
levi’s lowslung slickback gatsby",Amanda Chong,Mambo Jambo (2015),Unfree Verse
"sausage encroach convent circle
panicked morals scatter schoolgirls
champagne vodka cockblock defend
dancefloor embrace exit wingman",Amanda Chong,Mambo Jambo (2015),Unfree Verse
"Come. Listen: The sparrows have taken the vowels
From sirens and doorbells. The mermaids’ mouths, open
Like silent cups about to shatter.",Jennifer Anne Champion,The Sparrows Have Taken All The Vowels (2015),Unfree Verse
"culture is cheap to make,
to buy, to shake in a sling,",Grace Chia,Starfruit (1998),Unfree Verse
"(tictic
tictic
tictic
tictic
tictic
tictic
tictic
BOOM.)",Ng Yi-Sheng,A Loud Poem To Be Read To A Very Obliging Audience (2001),Unfree Verse
"I want a loud poem,
A proud poem,
A head-high-touch-the-sky-unbowed poem",Ng Yi-Sheng,A Loud Poem To Be Read To A Very Obliging Audience (2001),Unfree Verse
"Loud poem! Free expression, inhibition, exhibition!
Mission! Higher moral fibre, heavy oral ammunition!
Mental dental transcendental, magic an imagination,
Mass communication, media, publishing, repagination!",Ng Yi-Sheng,A Loud Poem,Unfree Verse
War external foundry I octopus fay / Exclude pontiff oratory runs away,Yeow Kai Chai,Hagiography (2014),Unfree Verse
"For the end comes reaching / in the quiet / 
as a watchmaker’s hand / harvests",David Wong,For the End Comes Reaching (2015),Unfree Verse
"Dear hart. Not you. Not the proxy
zoos bred me to bear to unflora at the dawn of an era. No. A boa.",Lo Kwa Mei-En,Animal Abecedarian (2015),Unfree Verse
"Which of the stars
Of the national flag
Represents death?",Alfian Sa'at,The Interrogation Room (2001),A History of Amnesia
"What is a word?
A needle's ballet
Stitching the chasm
Between a yes and a no.",Alfian Sa'at,The Interrogation Room (2001),A History of Amnesia
"If I am paranoid I have learnt it from you,
O my delicate orchid stalk Singapore.",Alfian Sa'at,Singapore You Are Not My Country (1998),One Fierce Hour
"And how can you call yourself a country, you terrible
hallucination of highways and cranes and condominiums ten minutes'
drive from the MRT?",Alfian Sa'at,Singapore You Are Not My Country (1998),One Fierce Hour
"That that to the chao ah beng who has seven stitches a
broken collarbone and three dead comrades but who
will not hesitate at thrusting his tiger ribcage into another fight
because the lanterns of his lungs have caught their own
fire and there is no turning back.",Alfian Sa'at,,
"O Singapore your fair shores your garlands your GNP.
You are not a country you are a construction from spare parts.
You are not a campaign you are last year's posters.
You are not a culture you are poems on the MRT.",Alfian Sa'at,Singapore You Are Not My Country,One Fierce Hour
"This will not do; we must stand aside and let the Lion crash
through a madness of cymbals back to that darkjungle heart
when eyes were still embers waiting for a crownless
Prince of Palembang.",Alfian Sa'at,Singapore You Are Not My Country (1998),One Fierce Hour
To buy a potted plant is to admit both faithlessness and need.,Alvin Pang,Other Things,Other Things
Other things mean other things.,Alvin Pang,Other Things,Other Things
"The correct answer to a mirror is always, yes.",Alvin Pang,Other Things,Other Things
"confound their historians. give up the wrong recipe for ketupat, for otak.",Alvin Pang,When the Barbarians Arrive,When the Barbarians Arrive
"dress your children like their long-dead elders. 
marry your daughters to them.

soon you will attend the same funerals.",Alvin Pang,When the Barbarians Arrive,When the Barbarians Arrive
"the things we love give back
our names.",Alvin Pang,In The End,City of Rain
"there is a clear point 
of divide, between what is
and what you have known.",Alvin Pang,Silence,What Happened
"I will uncage your body’s sadness with my own, and make the sound locks make
springing open",Alvin Pang,Homecoming,What Happened
"Lemon you
ginger me
I want to jam you
I want us to strawberry each
other",Grace Chia,Lemon you ginger me,womango
"she
who turned into bubbles in the risen air

with her unrequited heart.",Grace Chia,Mermaid Princess,womango
"as savagely as savagery does

Us
on all fours",Grace Chia,Us Beasts,womango
"Love is wet around the eye,
I once said over a rainy supper.",Paul Tan,Moorings,Curious Roads (1994)
"It is to run the dog inside,
scribble the evening
into the sky and park
your tree between the granted and the free.",Felix Cheong,What is it to Write,Temptation and other poems (1998)
"I have a thread
round each wrist
which I know I can unstitch
anytime I wish.",Felix Cheong,Notes for a Suicide,Broken by the rain (2003)
"The more we cool
Against each other, the harder we get.",Toh Hsien Min,Water,The Enclosure of Love (2001)
That was what the fruit was about: one bite and boredom exploded like juice to fill our mouths.,Cyril Wong,Part of a Discussion,
"What death may be: a slow, close-to-weightless
tilt, like a burgeoning foetus turning
slightly in the womb.",Cyril Wong,Landing,
"alive with all kinds of ambivalences,
or simply relief at having arrived, at long last,
in that no-time zone of a country
without a name except the ones we give it",Cyril Wong,Landing,
"An island
steals into view like the future,

sliding out of the horizon
like a bather's kneecap.",Cyril Wong,Holiday Cruise,
"A blue willow
bent in the wind
to catch the gossip
from the blue air",Angeline Yap,Blue,Collected Poems
"Unobserved, happiness settles
over everything, like a gentle dust",Angeline Yap,A Mound of Gold,Collected Poems
"here, the last stroke added,
moving us from wood to learning.",Angeline Yap,"ben(""book"")",
"The ground may breathe again,
though the soft-talking trees deny it everyday.",Aaron Lee,Road-works,A Visitation of Sunlight (1997)
"This is not so much a place as a pause
between moments",Aaron Lee,The Way Things Are,A Visitation of Sunlight (1997)
"It is strange
how snow makes food
out of everything",Yong Shu Hoong,Seeing Snow for the First Time,Isaac (1997)
"One flake
crashes upon my nose,
and in heaven
an angel must be missing
a sequin.",Yong Shu Hoong,Seeing Snow for the First Time,Isaac (1997)
"Ahead, the sky exhales, shifting its pall –
a restlessness reminiscent of blue.",Amanda Chong,Malacca,QLRS
"What I know of endings
has been unremarkable,
 
the way bruised bananas
rot overnight without
 
much fuss.",Norashiqin Toh,I Know I Have Lost,QLRS
"The stewardess is asking if you want to know what's behind the occupied sign. 
It turns out it's the same man taking a shit, trying to make the same mental sum work.",Jennifer Anne Champion,Authorial Airship,QLRS
"I mistake marmalade for

kaya, think of toast, mouth ""nonsense""—
but not alamak.",Hamid Roslan,Not English English,QLRS
" At last, the historians held conferences
announcing their discovery. But soon they accused each other
of being revisionists.",Daryl Lim,The Event,QLRS
"Others spoke of discourse,
praxis and collective memory. In the end they agreed
that perhaps it wasn't really all that significant.",Daryl Lim,The Event,QLRS
"The planets do not deviate from their courses, and nor
do the buses from their routes.",Daryl Lim,First Day At Work,QLRS
"a house is the sine curve
of your turbulence.",Qamar Firdaus Saini,trigonometry,QLRS
"This is the bed that makes you a family.
This is the woman you have chosen, her chest
softly tidal in sleep. ",Jerrold Yam,Pulse,QLRS
"when the bank of
love demands for doubled
interest, the court rules
against emotional bankruptcy.",Ang Shuang,Schrodinger's Open Door,QLRS
"the cat eats
your tongue. i forget to
hold mine. at the end of
the rope there is a door.",Ang Shuang,Schrodinger's Open Door,QLRS
"a belated warning: wing angled
south, rib upside down. neck
arched away from your side
of the bed, already cooling.",Ang Shuang,Scrying with Bones,QLRS
" i stay

and it is enough for the dust
to form a thin layer, warm
and indistinguishable from ash",Teo Xiao Ting,Isolation Ward,QLRS
"no, full stops in text messaging are a sign we are weighing
this conversation at the appropriate gravity",Joshua Ip,defensive architecture,QLRS
"Nobody decides to live
before living first.",Jerome Lim,Life Finds A Way,QLRS
"When calling for pizza,
be authentic to your need. Demand things not on the menu.
Better to starve than to eat what everyone else is eating.",Daryl Lim,A Phenomenological Cookbook,QLRS
"Here, I tell her,
a storm does not embrace you. It only
leaves you damp, desiring the sun",Faith Christine Lai,Migration Poem,QLRS
"the bears, who
had waited for the salmon to return all summer long,
shrink into cubs and are swallowed whole by
their mothers. the salmon die on the pink bedrock.

",Wahid Al Mamun,salmon run,QLRS
"instead i will break the surface with a beard,
rich and salted, tagore's or my grandfather's.
my mother dreams i have her accent.",Wahid Al Mamun,my mother thinks i dream in bengali,QLRS
"these are the nights when
language rises like air, the fish swim downstream.
the land i stand on does not subduct under
my feet. ",Wahid Al Mamun,my mother thinks i dream in bengali,QLRS
"In her absence, the hotpot lid falls from grace,
the tupperware picks a fight with the sink,
and the bedroom door breaks
the heart of the apartment.",Samuel Caleb Wee,Apartment 10C,QLRS
"as if he wanted me
to know him, as if
he wanted
someone
to know him.",Jasmine Goh,flight path,QLRS
"First, patience. Second, patience –
but to a reasonable degree",Valen Lim,Wish List,QLRS
"the world on its way
                     to becoming rubble
tremble / something moves / something
is moved",Rodrigo Dela Pena Jr,The Derrick,QLRS
"What are feet if not
to run. ",Rodrigo Dela Pena Jr,The Hunted,QLRS
"No-one
watches, but he wonders if it is like a dance.
Which are coming, which the leaving ones.",Theophilus Kwek,Final Cut,QLRS
"in the weeks to come, the body
will ask the same question like a
magician with only a single trick, or
a trick looking for its single magician",Ang Shuang,Inappropriate and Unsettling Stories for the Swift Silencing of a Precocious Child,QLRS
"last year a boy i loved woke up
on his knees then told me i was
the stopover to his new york city",Ang Shuang,Rimmel #100,QLRS
"The lamp
flickers so often I am used to ghosts.",Ally Chua,Nothing in this House Works Anymore,QLRS
"Since then, a
crescent moon has always been
 
a laughing scythe, and fear has
always been predictive.",Faith Christine Lai,Just Before I Heard the News,QLRS
"The way he shudders after
he swallows, falls limp. His stomach
always gently distended after.",Natalie Wang,Nasi Kang Kang,QLRS
"Dead wings learn
to flap long after the breath leaves
the body.",Esther Vincent,nondescript,QLRS
"because in this fog fugue 
light comes from the flint strike 
of another man's words ",Natalie Wang,how i know i love,QLRS
"Yes, I know what it was like
to be split open in a place
you thought was a temple.",Natalie Wang,For Medusa,QLRS
"Easter Sunday; Sambal Sotong in the fridge.
Belacan in jars. The longer you keep the Devil,
the tastier it is",Arin Alycia Fong,Lenten Gragoh,QLRS
"each iteration also explanation,
the how developing into the why,
why her pitchers, bowls, vases levitate.",Jee Leong Koh,The Ceramicist,QLRS
"And here is my heaven for them: words
of all deformities hanging out in
some bamboo grove to a soundtrack of zither
and streaming water",Julius Li,Brush,QLRS
"wake up to the highest possible grade of birdsong

a fifth of the cutlery has been used just once",Daryl Lim,Domestic Bliss,QLRS
"each room cultivates its particular version of truth

                   where there was silence there is now more",Daryl Lim,Domestic Bliss,QLRS
"If I were to skip stones
your reflection will dissipate.",Ally Chua,Tangible,QLRS
"Because of those drowned mouths, he was to write
for his one reason on the questionnaire
the criminalization of homo…
quantified those hours as 377
and graded his own answer with an A.",Jee Leong Koh,The Columnist,QLRS
"if a couple makes love at night without
practical aim, is sincerity compromised?",Faye Ng Yu Ci,Interrogation,QLRS
"I sense you and I grip harder, feeling
the torsion, the oncoming snap.",Anurak Saelaow,Acts of Unguided Consumption,QLRS
"i resolve not to pine
over the apples
not to let tart
comments get to me",Elizabeth Francine Tan,this year,QLRS
"I've yet to smell anything

like the tremor of a monsoon.
I've been dreaming of a koel crying
after winter. ",Faith Christine Lai,A Sense of Home,QLRS
"Even when we've named them
our own. Even after cradling in hands.
Even if this was once called home",Faith Christine Lai,That One Close Down Already,QLRS
"you are a glass idol
blown full with smoke.",Ang Kia Yee,Untitled,QLRS
"What faith costs weighs heavier in the night -
but so too a thousand small graces, and
the presence of the Only Wise.",Yu Jia Cheong,Monday,QLRS
"i haven't forgotten how to talk fish,
i still find traces of salt on my pillow.",Kristie Ng,There Was Light,QLRS
They call you my intended as if you were a destination.,Joshua Ip,a poem engaged with the moon,QLRS
"East Meadows. The Glades. Country Park.
Eastwood Regency. D'Manor. Limau Park.",Theophilus Kwek,Merah,QLRS
"I have never been this close to crabs in the wild.
The Teochews eat them in vinegar.",Esther Vincent,sungei buloh sonnets,QLRS
Only drowned buildings will survive.,Yu Jia Cheong,Evening at Dakota Crescent,QLRS
" It is not
eating the fruit that entices
as much as the thrill of holding it
ripe in your hand.",Serene Leong,Why Good Girls Go To Zouk,QLRS
"place each vital spiced organ meticulous into
my canopic chambers, each a cold storage capsule",Marylyn Tan,Not a Necro Just a Romancer,QLRS
"in my dream / i will surface / soft bread / in my mouth / to give shape
to no-ness / draw lines of / slanted air / & then divide / day / from day / to day",Dustin Wong,what about the damnation that does not burn?,QLRS
"My birthday is in July,
but they ask us to sing the song twice,
forgetting early celebrations are a bad omen.",Shilpa Dikshit Thapiyal,Disquiet,QLRS
"Every election is a covered drain.
Each vote a drop-off porch. Each GRC
a sheltered walkway.",Joshua Ip,Upgrading,QLRS
"blue is the only colour to take up
huge swathes of space in nature, but
offers little consumables in return—
not even blueberries are blue.",Faye Ng Yu Ci,do you love him like the color blue,QLRS
